COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP
Anderson County,48001,"Anderson County, Texas",1062.61634403435,58077,0
Andrews County,48003,"Andrews County, Texas",1500.72065831432,18362,0
Angelina County,48005,"Angelina County, Texas",797.86465166262,86608,0
Aransas County,48007,"Aransas County, Texas",252.068582213698,24048,0
Archer County,48009,"Archer County, Texas",903.288791561482,8649,0
Armstrong County,48011,"Armstrong County, Texas",909.12255880367,1912,145
Atascosa County,48013,"Atascosa County, Texas",1219.54166329991,49403,0
Austin County,48015,"Austin County, Texas",646.495319713658,30406,0
Bailey County,48017,"Bailey County, Texas",826.971482595074,6902,0
Bandera County,48019,"Bandera County, Texas",790.993224098474,21182,0
Bastrop County,48021,"Bastrop County, Texas",888.227670691202,98435,0
Baylor County,48023,"Baylor County, Texas",867.48030172818,3475,0
Bee County,48025,"Bee County, Texas",880.23900370798,30977,0
Bell County,48027,"Bell County, Texas",1053.83016367893,372821,0
Bexar County,48029,"Bexar County, Texas",1240.3243930285,2014059,0
Blanco County,48031,"Blanco County, Texas",709.251510218766,11608,0
Borden County,48033,"Borden County, Texas",897.442389131344,686,132
Bosque County,48035,"Bosque County, Texas",982.97084818321,18404,0
Bowie County,48037,"Bowie County, Texas",884.93884188604,92747,0
Brazoria County,48039,"Brazoria County, Texas",1363.27372046805,374600,0
Brazos County,48041,"Brazos County, Texas",586.137945799268,234548,0
Brewster County,48043,"Brewster County, Texas",6183.7604997483,9454,0
Briscoe County,48045,"Briscoe County, Texas",900.000315267446,1290,167
Brooks County,48047,"Brooks County, Texas",943.354141659428,7059,0
Brown County,48049,"Brown County, Texas",944.451919993296,38159,0
Burleson County,48051,"Burleson County, Texas",659.082064990126,17958,0
Burnet County,48053,"Burnet County, Texas",994.799631990254,49684,0
Caldwell County,48055,"Caldwell County, Texas",544.540945283606,46141,0
Calhoun County,48057,"Calhoun County, Texas",506.930899271182,20127,0
Callahan County,48059,"Callahan County, Texas",899.371806076582,13869,0
Cameron County,48061,"Cameron County, Texas",891.716392223804,421854,0
Camp County,48063,"Camp County, Texas",195.847291225128,12543,0
Carson County,48065,"Carson County, Texas",920.234436139154,5801,0
Cass County,48067,"Cass County, Texas",936.947349242082,28637,0
Castro County,48069,"Castro County, Texas",894.444044938086,7381,0
Chambers County,48071,"Chambers County, Texas",597.095882336842,47037,0
Cherokee County,48073,"Cherokee County, Texas",1052.95447623479,50824,0
Childress County,48075,"Childress County, Texas",696.510489007852,6781,0
Clay County,48077,"Clay County, Texas",1088.75816334531,10290,0
Cochran County,48079,"Cochran County, Texas",775.08193867066,2529,0
Coke County,48081,"Coke County, Texas",911.645972054196,3305,0
