GEOID,Geography,Geographic Area Name,Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
01001,0500000US01001,"Autauga County, Alabama",93367,6187
01003,0500000US01003,"Baldwin County, Alabama",100105,2656
01005,0500000US01005,"Barbour County, Alabama",64745,4163
01007,0500000US01007,"Bibb County, Alabama",67735,4849
01009,0500000US01009,"Blount County, Alabama",79203,3613
01011,0500000US01011,"Bullock County, Alabama",51121,5943
01013,0500000US01013,"Butler County, Alabama",69162,5717
01015,0500000US01015,"Calhoun County, Alabama",71879,2931
01017,0500000US01017,"Chambers County, Alabama",65673,4281
01019,0500000US01019,"Cherokee County, Alabama",71062,3960
01021,0500000US01021,"Chilton County, Alabama",75680,3654
01023,0500000US01023,"Choctaw County, Alabama",63315,3499
01025,0500000US01025,"Clarke County, Alabama",73965,9406
01027,0500000US01027,"Clay County, Alabama",71247,6659
01029,0500000US01029,"Cleburne County, Alabama",73100,7851
01031,0500000US01031,"Coffee County, Alabama",81266,3023
01033,0500000US01033,"Colbert County, Alabama",74264,3832
01035,0500000US01035,"Conecuh County, Alabama",61553,5470
01037,0500000US01037,"Coosa County, Alabama",69698,6191
01039,0500000US01039,"Covington County, Alabama",73109,5313
01041,0500000US01041,"Crenshaw County, Alabama",70635,7711
01043,0500000US01043,"Cullman County, Alabama",78002,2810
01045,0500000US01045,"Dale County, Alabama",69759,2751
01047,0500000US01047,"Dallas County, Alabama",55600,4005
01049,0500000US01049,"DeKalb County, Alabama",65789,2110
01051,0500000US01051,"Elmore County, Alabama",96359,4387
01053,0500000US01053,"Escambia County, Alabama",60177,3128
01055,0500000US01055,"Etowah County, Alabama",73124,3820
01057,0500000US01057,"Fayette County, Alabama",69566,5609
01059,0500000US01059,"Franklin County, Alabama",67215,3565
01061,0500000US01061,"Geneva County, Alabama",66098,3944
01063,0500000US01063,"Greene County, Alabama",48047,5746
01065,0500000US01065,"Hale County, Alabama",61740,6375
01067,0500000US01067,"Henry County, Alabama",78795,7257
01069,0500000US01069,"Houston County, Alabama",80048,1805
01071,0500000US01071,"Jackson County, Alabama",67768,2783
01073,0500000US01073,"Jefferson County, Alabama",97165,1731
01075,0500000US01075,"Lamar County, Alabama",60489,3893
01077,0500000US01077,"Lauderdale County, Alabama",78675,3246
01079,0500000US01079,"Lawrence County, Alabama",76640,4860
01081,0500000US01081,"Lee County, Alabama",86713,3540
01083,0500000US01083,"Limestone County, Alabama",105108,3972
01085,0500000US01085,"Lowndes County, Alabama",58417,6107
01087,0500000US01087,"Macon County, Alabama",61698,4827
01089,0500000US01089,"Madison County, Alabama",111962,2237
01091,0500000US01091,"Marengo County, Alabama",67077,6156
01093,0500000US01093,"Marion County, Alabama",66253,5581
01095,0500000US01095,"Marshall County, Alabama",82099,3004
01097,0500000US01097,"Mobile County, Alabama",79051,1634
01099,0500000US01099,"Monroe County, Alabama",57308,3613
01101,0500000US01101,"Montgomery County, Alabama",80704,2691
01103,0500000US01103,"Morgan County, Alabama",86044,2840
01105,0500000US01105,"Perry County, Alabama",42730,4173
01107,0500000US01107,"Pickens County, Alabama",66646,3925
01109,0500000US01109,"Pike County, Alabama",69002,5339
